Artist,Listeners,Playcount,URL,Biography,Tags,TopTracks,SimilarArtists
elton john,4958640,151683129,https://www.last.fm/music/Elton+John,"Sir Elton Hercules John (born Reginald Kenneth Dwight; 25 March 1947) is a British singer, pianist, and composer. Collaborating with lyricist Bernie Taupin since 1967, John is one of the most successful artists of all time, having sold over 300 million records worldwide in a seven-decade career in music. He is acclaimed by critics and musicians, particularly for his work during the 1970s, and his lasting impact on the music industry. John's music and showmanship have had a significant impact on popular music. <a href=""https://www.last.fm/music/Elton+John"">Read more on Last.fm</a>","[""pop"", ""classic rock"", ""singer-songwriter"", ""rock"", ""piano""]","[{""name"": ""I'm Still Standing"", ""album"": ""The Greatest Hits 1970-2002"", ""duration_s"": 183, ""tags"": [""80s"", ""pop"", ""rock"", ""classic rock"", ""elton john""], ""wiki"": ""“I'm Still Standing“ is a song written by English musician Elton John and songwriter Bernie Taupin, from John's 1983 studio album, Too Low for Zero. It was the second single released from the album in the UK, and the first single released in the United States.\n\nHelped by a video promoting the song on MTV, \""I'm Still Standing\"" became a big hit for John on both sides of the Atlantic, peaking at No. 1 in Canada and Switzerland, No. 4 in the UK and No. 12 on the US Billboard Hot 100. <a href=\""http://www.last.fm/music/Elton+John/_/I%27m+Still+Standing\"">Read more on Last.fm</a>.""}, {""name"": ""Your Song"", ""album"": ""Greatest Hits"", ""duration_s"": 244, ""tags"": [""70s"", ""pop"", ""classic rock"", ""elton john"", ""piano""], ""wiki"": ""\""Your Song\"" is a ballad composed and performed by musician Elton John. The song's lyrics were written by Bernie Taupin. According to the Your Song Songfacts, he wrote them over breakfast at John's parents' house, where he was living. The original lyrics have coffee stains on them. It appeared on John's self-titled second album in 1970.\n\nThe song was released in the U.S. in October 1970 as the B-side to \""Take Me to the Pilot\"". Both received airplay <a href=\""http://www.last.fm/music/Elton+John/_/Your+Song\"">Read more on Last.fm</a>.""}, {""name"": ""Tiny Dancer"", ""album"": ""Madman Across the Water"", ""duration_s"": 376, ""tags"": [""classic rock"", ""70s"", ""piano"", ""pop"", ""rock""], ""wiki"": ""Album: Madman Across The Water\nReleased: 1971\nUS Chart: 41\nAccording to the Tiny Dancer Songfacts , the, \""Blue jean baby, LA Lady, seamstress for the band\"" was Bernie Taupin's then girlfriend Maxine Feibelman. She was a dancer who accompanied John and Taupin on their first tour of America in 1970, often sewing together the costumes and fixing their clothes. She and Taupin married in 1971.\n <a href=\""http://www.last.fm/music/Elton+John/_/Tiny+Dancer\"">Read more on Last.fm</a>.""}, {""name"": ""Rocket Man (I Think It's Going to Be a Long, Long Time)"", ""album"": ""Double Hits Collection Part One"", ""duration_s"": 283, ""tags"": [""70s"", ""pop"", ""classic rock"", ""rock"", ""soft rock""], ""wiki"": ""\""Rocket Man (I Think It's Going to Be a Long, Long Time)\"" is a song composed by Elton John and Bernie Taupin, and originally performed by John. \nThe song echoes the theme of David Bowie's 1969 song \""Space Oddity\"" (both recordings were produced by Gus Dudgeon), but, according to an account in Elizabeth Rosenthal's book, \""His Song: The Musical Journey of Elton John,\"" the song might never have been conceived had it not been for Taupin's sighting of either a shooting star or distant airplane. <a href=\""http://www.last.fm/music/Elton+John/_/Rocket+Man+(I+Think+It%27s+Going+to+Be+a+Long,+Long+Time)\"">Read more on Last.fm</a>.""}, {""name"": ""Don't Go Breaking My Heart"", ""album"": ""The Greatest Hits 1970-2002"", ""duration_s"": 261, ""tags"": [""pop"", ""70s"", ""rock"", ""duets"", ""elton john""], ""wiki"": ""\""Don't Go Breaking My Heart\"" is a duet by Elton John and Kiki Dee. It was written by Elton John without Bernie Taupin under the pseudonym \""Ann Orson\"" and \""Carte Blanche\"" (a pun on the expression \""an horse and cart, blanche\""), and intended as an affectionate pastiche of the Tamla Motown style, notably the various duets recorded by Marvin Gaye and singers such as Tammi Terrell and Kim Weston. It is not to be confused with the Burt Bacharach/Hal David song of the same title recorded in 1966 by Dionne Warwick. <a href=\""http://www.last.fm/music/Elton+John/_/Don%27t+Go+Breaking+My+Heart\"">Read more on Last.fm</a>.""}]","[""Billy Joel"", ""Rod Stewart"", ""Queen"", ""Paul McCartney"", ""Elton John & Kiki Dee""]"
luck ra,103603,2854164,https://www.last.fm/music/Luck+Ra,"Juan Facundo Almenara, conocido por su nombre artístico Luck Ra es un cantante, trapero y streamer argentino.​ <a href=""https://www.last.fm/music/Luck+Ra"">Read more on Last.fm</a>","[""white rapper"", ""bachata"", ""merengue"", ""racist"", ""childrens music""]","[{""name"": ""La Morocha"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}, {""name"": ""HOLA PERDIDA"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}, {""name"": ""Ya No Vuelvas (Versión Cuarteto)"", ""album"": ""Ya No Vuelvas (Versión Cuarteto)"", ""duration_s"": 204, ""tags"": [], ""wiki"": """"}, {""name"": ""QUE ME FALTE TODO"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}, {""name"": ""HOLA PERDIDA REMIX"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}]","[""Paulo Londra"", ""Trueno"", ""Wos"", ""Oscu"", ""Big One""]"
ros,9676,114557,https://www.last.fm/music/Ros,"Rapcore, Nu Metal band from Japan. ROS Formed in December 2016. 

Band Members:
(ex-Smorgas) Introduction - Vocals
(ex-Dragon Ash) HIROKI - Guitar
(ex-Rize) U:ZO - Bass <a href=""https://www.last.fm/music/Ros"">Read more on Last.fm</a>","[""rapcore"", ""rock"", ""swedish"", ""polish"", ""Drum and bass""]","[{""name"": ""Say Yeah"", ""album"": ""Peaches N Cream"", ""duration_s"": 156, ""tags"": [], ""wiki"": """"}, {""name"": ""Hemlighet"", ""album"": ""Höstmys 2021"", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}, {""name"": ""Rumore"", ""album"": ""Rumore"", ""duration_s"": 169, ""tags"": [], ""wiki"": """"}, {""name"": ""秋, 彩々"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}, {""name"": ""Pornstar"", ""album"": ""Peaches N Cream"", ""duration_s"": 181, ""tags"": [], ""wiki"": """"}]","[""Vita Bergen"", ""Joakim Berg"", ""Dolce"", ""Johan Airijoki"", ""Mattias Alkberg""]"
jimin,769579,699536696,https://www.last.fm/music/Jimin,"1. Park Ji-min (박지민) ,better known by his stage name Jimin (지민), is a South Korean singer, songwriter, record producer, and dancer. Jimin is a member of the boy group BTS . 

On June 13, 2013, Jimin made his debut as a member of BTS with the release of the single ""No More Dream"". 
In the group ‘BTS’ Jimin holds the position of lead vocalist and main dancer. Under BTS, he has released three solo songs: ""Lie"", ""Intro: Serendipity"", and ""Filter"".  <a href=""https://www.last.fm/music/Jimin"">Read more on Last.fm</a>","[""k-pop"", ""jimin"", ""bts"", ""Korean"", ""Kpop""]","[{""name"": ""Like Crazy"", ""album"": ""FACE"", ""duration_s"": 212, ""tags"": [""soty"", ""jimin"", ""bts"", ""synthpop"", ""face""], ""wiki"": ""“Like Crazy“ is the title song for Jimin of BTS' solo debut album FACE, released on March 24, 2023\n\n“I was actually on YouTube, and I came across this video of a mashup between this song “In Return” by Breakbot and clips of this movie. I was like, ‘Oh what is this?’ and that led me to watching the movie. I thought it would be very romantic and sweet, but it turned out that it’s actually a very realistic and stark depiction of a breakup. <a href=\""http://www.last.fm/music/Jimin/_/Like+Crazy\"">Read more on Last.fm</a>.""}, {""name"": ""Who"", ""album"": ""MUSE"", ""duration_s"": 170, ""tags"": [""soty"", ""jimin"", ""it boy"", ""pop"", ""Kpop""], ""wiki"": ""Who is a solo single by Jimin a member of the South Korean boy group BTS. The song was released on July 19, 2024, as part of his solo album MUSE. The song is an R&B-pop track with electronic and hip-hop elements.\n\nWho was produced by Pdogg, GHSTLOOP, Jon Bellion, Pete Nappi, and Tenroc. The lyrics, written by GHSTLOOP, Jason Cornet, Jon Bellion, Pete Nappi and Pdogg,  The song explores the incessant and almost desperate search for an idealized love, someone he has not yet found, but who constantly occupies his thoughts and dreams. <a href=\""http://www.last.fm/music/Jimin/_/Who\"">Read more on Last.fm</a>.""}, {""name"": ""Set Me Free Pt.2"", ""album"": ""FACE"", ""duration_s"": 200, ""tags"": [""jimin"", ""k-pop"", ""Kpop"", ""Korean"", ""soty""], ""wiki"": ""“Set Me Free Pt.2” is a pre-release single by Jimin of BTS for his upcoming solo debut album, \""FACE”, released on the March 2023. The single Set Me Free Pt.2 was released on the March 17 2023. <a href=\""http://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2\"">Read more on Last.fm</a>.""}, {""name"": ""Like Crazy (English Version)"", ""album"": ""FACE"", ""duration_s"": 212, ""tags"": [""2023"", ""pop"", ""lyrical"", ""k-pop"", ""Like Crazy""], ""wiki"": ""\""Like Crazy\"" is the title song for Jimin of BTS' solo debut album \""FACE\"", released on the 24th of March 2023. This is the English version of the original K-Pop song. <a href=\""http://www.last.fm/music/Jimin/_/Like+Crazy+(English+Version)\"">Read more on Last.fm</a>.""}, {""name"": ""Promise"", ""album"": ""Promise"", ""duration_s"": 0, ""tags"": [""jimin"", ""bts"", ""youtube"", ""Love"", ""soty""], ""wiki"": ""\""Promise\"" or \""약속\"" is a digital solo by Jimin of BTS. The song was unofficially released on the 31st of December 2018 and made its official appearance on streaming platforms on the 6th of March 2023 as a highlight of his upcoming solo album \""FACE\"". <a href=\""http://www.last.fm/music/Jimin/_/Promise\"">Read more on Last.fm</a>.""}]","[""Jimin, Loco"", ""Jimin, HA SUNG WOON"", ""RM"", ""BTS"", ""j-hope""]"
dua lipa,3031885,292772994,https://www.last.fm/music/Dua+Lipa,"Dua Lipa (born 22 August 1995) is an English, Albanian, and Kosovar singer, songwriter and actress. She began her career as a model before signing with Warner Bros. Records in 2014. Her self-titled debut studio album was released in 2017 and peaked at number three on the UK Albums Chart. The album included the singles ""Be the One"", ""IDGAF"", and the UK number-one single ""New Rules"". In 2018, she received Brit Awards for British Female Solo Artist and British Breakthrough Act. <a href=""https://www.last.fm/music/Dua+Lipa"">Read more on Last.fm</a>","[""pop"", ""synthpop"", ""electropop"", ""british"", ""female vocalists""]","[{""name"": ""Don't Start Now"", ""album"": ""Housework Songs"", ""duration_s"": 183, ""tags"": [""Disco"", ""pop"", ""nu-disco"", ""dance-pop"", ""dance""], ""wiki"": ""'Don't Start Now' is the the bass-heavy and disco infused comeback single from British singer-songwriter Dua Lipa. It serves as the lead single from her sophomore album, 'Future Nostalgia', released 27 March 2020. \nDua began teasing the 'Future Nostalgia' era on 1 October 2019, when she posted to Instagram a photo of her revealing her new hairstyle, captioned, “A new era! Thank you for your patience. See you soon #DL2.” Eventually, on 11 October <a href=\""http://www.last.fm/music/Dua+Lipa/_/Don%27t+Start+Now\"">Read more on Last.fm</a>.""}, {""name"": ""New Rules"", ""album"": ""Dua Lipa (Deluxe)"", ""duration_s"": 210, ""tags"": [""pop"", ""dance"", ""2017"", ""electropop"", ""2010s""], ""wiki"": ""\""New Rules\"" is a song by English singer Dua Lipa from her self-titled debut studio album. The song was written by Caroline Ailin, Emily Warren and Ian Kirkpatrick, and produced by the latter. It was released to contemporary hit radio in the United Kingdom on 15 July 2017 as the album's seventh single. The song's music video was released on 7 July. <a href=\""http://www.last.fm/music/Dua+Lipa/_/New+Rules\"">Read more on Last.fm</a>.""}, {""name"": ""Levitating (feat. DaBaby)"", ""album"": ""Now That's What I Call Music, Vol. 77"", ""duration_s"": 203, ""tags"": [""nu-disco"", ""pop"", ""dance-pop"", ""Disco"", ""DaBaby""], ""wiki"": ""Dua Lipa enlists DaBaby for another version of her March 2020 hit track “Levitating,” which appears on her sophomore studio album, Future Nostalgia.\n\nDua Lipa’s second verse from the original song is replaced by a verse from DaBaby.\n\nThe official music video was released the same day as the single release. <a href=\""http://www.last.fm/music/Dua+Lipa/_/Levitating+(feat.+DaBaby)\"">Read more on Last.fm</a>.""}, {""name"": ""Levitating"", ""album"": ""Future Nostalgia (édition française)"", ""duration_s"": 203, ""tags"": [""pop"", ""dance-pop"", ""nu-disco"", ""Disco"", ""electropop""], ""wiki"": ""\""Levitating\"" is a song by English singer Dua Lipa from her second studio album \""Future Nostalgia\"". The song was written by Lipa, Clarence Coffee Jr., Sarah Hudson and Stephen Kozmeniuk, with the image of Mike Myers in Austin Powers in mind.\n\nThe production was handled by Koz and Stuart Price, and stemmed from a Roland VP-330 synthesizer sample played by the former. The song was serviced to contemporary hit radio formats in Italy on 13 August 2020 as the fifth single from the album. <a href=\""http://www.last.fm/music/Dua+Lipa/_/Levitating\"">Read more on Last.fm</a>.""}, {""name"": ""Break My Heart"", ""album"": ""Just Hits"", ""duration_s"": 221, ""tags"": [""pop"", ""Disco"", ""dance-pop"", ""nu-disco"", ""dance""], ""wiki"": ""\""Break My Heart\"" is a song by English singer Dua Lipa, released on March 25, 2020 through Warner Records as the third single from her second studio album \""Future Nostalgia\"". The song was written by Lipa, Alexandra Tamposi, Blair Gormal and its producers The Monsters and the Strangerz. \""Break My Heart\"" samples the melody from \""Need You Tonight\"" by INXS, thus Michael Hutchence and Andrew Farriss are also credited as songwriters.\n\n\""Break My Heart\"" was leaked in January 2020 along with \""Physical\"" and \""If It Ain't Me\"" <a href=\""http://www.last.fm/music/Dua+Lipa/_/Break+My+Heart\"">Read more on Last.fm</a>.""}]","[""Ava Max"", ""Zara Larsson"", ""Katy Perry"", ""Silk City"", ""Mabel""]"
tommy cash,332100,5475958,https://www.last.fm/music/Tommy+Cash,"There are multiple artists that perform under the name Tommy Cash:

1. Tommy Cash is an Estonian rapper. Tommy has worked with a number of renowned musicians such as Charli XCX, Diplo, Bones, Boys Noize, Quebonafide, A.G. Cook and many more. He has had remarkable collaborations also in the world of fashion, e.g. with Rick Owens, Maison Margiela and Adidas with record breaking reach of approximately 80 million people around the globe. Are these world's longest shoes <a href=""https://www.last.fm/music/Tommy+Cash"">Read more on Last.fm</a>","[""Hip-Hop"", ""rap"", ""estonian"", ""trap"", ""experimental""]","[{""name"": ""Espresso Macchiato"", ""album"": ""Espresso Macchiato"", ""duration_s"": 173, ""tags"": [""Eurovision"", ""eurovision 2025"", ""post-revolutionary pop song"", ""Eurovision Song Contest"", ""ESC""], ""wiki"": ""\""Espresso Macchiato\"" is a song by Estonian rapper and singer Tommy Cash (Tomas Tammemets). It was written by Tammemets and Finnish songwriter Johannes Naukkarinen, with production handled by Naukkarinen. The single was released on 7 December 2024 and represented Estonia in the Eurovision Song Contest 2025. It came in 3rd place with 356 points.\nhttps://en.wikipedia.org/wiki/Espresso_Macchiato_(song) <a href=\""http://www.last.fm/music/Tommy+Cash/_/Espresso+Macchiato\"">Read more on Last.fm</a>.""}, {""name"": ""Zuccenberg"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}, {""name"": ""PUSSY MONEY WEED"", ""album"": ""Pussy Money Weed"", ""duration_s"": 214, ""tags"": [], ""wiki"": """"}, {""name"": ""Winaloto"", ""album"": ""Winaloto"", ""duration_s"": 208, ""tags"": [], ""wiki"": """"}, {""name"": ""TANGO"", ""album"": """", ""duration_s"": 0, ""tags"": [], ""wiki"": """"}]","[""Die Antwoord"", ""Хаски"", ""bbno$"", ""Хлеб"", ""Loqiemean""]"
teddy swims,990490,16687067,https://www.last.fm/music/Teddy+Swims,"Jaten Dimsdale, known by his moniker, Teddy Swims, is an American Singer-songwriter from Atlanta, GA.

Teddy grew up navigating different worlds: he was a football player, a musical theater student and the grandson of a Pentecostal pastor. Teddy was exposed to a wider variety of music than most “country boys”. In high school and over the next few years he was in several bands, genres ranging from 80’s hair metal, funk, modern metalcore, soul, and country alternative bands.  <a href=""https://www.last.fm/music/Teddy+Swims"">Read more on Last.fm</a>","[""soul"", ""singer-songwriter"", ""pop"", ""rnb"", ""Neo-Soul""]","[{""name"": ""Lose Control"", ""album"": ""I've Tried Everything But Therapy (Part 1)"", ""duration_s"": 210, ""tags"": [""soul"", ""pop"", ""rnb"", ""vocals"", ""4stars""], ""wiki"": ""“Lose Control” is the second track on I’ve Tried Everything But Therapy by Teddy Swims. Swims uses this song to take everything off his shoulders- losing himself and all control when everything starts caving in; the only way to escape is being with that specific person.\n\n“Lose Control” climbed to No. 1 of Billboard’s Hot 100™ over the course of 32 weeks- making it The longest ascent to the top for a solo male artist in the chart’s 65-year history. <a href=\""http://www.last.fm/music/Teddy+Swims/_/Lose+Control\"">Read more on Last.fm</a>.""}, {""name"": ""The Door"", ""album"": ""I've Tried Everything But Therapy (Part 1)"", ""duration_s"": 212, ""tags"": [""soul"", ""pop"", ""american"", ""breakup"", ""Radio""], ""wiki"": """"}, {""name"": ""Bad Dreams"", ""album"": ""Bad Dreams"", ""duration_s"": 184, ""tags"": [""pop"", ""american"", ""linedance catalan"", ""pick n mix"", ""linedance 2024""], ""wiki"": ""Teddy Swims released a song called \""Bad Dreams\"" in September 2024. It's the first single from his album, \""I've Tried Everything but Therapy (Part 2).\""\nThe song came out after Swims performed at the MTV Video Music Awards. He played a mix of his hits \""Lose Control\"" and \""The Door,\"" along with a cover of Rihanna's \""Stay.\""\n\""Bad Dreams\"" explores the emotional pain of heartbreak. It describes how intense feelings and insomnia can follow a breakup. <a href=\""http://www.last.fm/music/Teddy+Swims/_/Bad+Dreams\"">Read more on Last.fm</a>.""}, {""name"": ""Are You Even Real (feat. Givēon)"", ""album"": ""hottest 60 songs - 2025"", ""duration_s"": 147, ""tags"": [], ""wiki"": """"}, {""name"": ""Hammer to the Heart"", ""album"": ""I've Tried Everything But Therapy (Part 1.5)"", ""duration_s"": 192, ""tags"": [], ""wiki"": """"}]","[""Victor Ray"", ""Rag'n'Bone Man"", ""GoldFord"", ""JP Cooper"", ""John Legend""]"
djo,1842219,61805308,https://www.last.fm/music/Djo,"Djo is the musical moniker of American actor/musician Joe Keery, known for his role of Steve Harrington in the hit Netflix show Stranger Things, as well as being a former member of Chicago psychedelic rock band  Post Animal. On September 13th 2019, he released his debut album 'Twenty Twenty', which was supported by the singles ""Roddy"", released July 19, 2019,  ""Chateau (Feel Alright),"" August 9, 2019, and ""Mortal Projections,"" August 30, 2019. 

DECIDE <a href=""https://www.last.fm/music/Djo"">Read more on Last.fm</a>","[""psychedelic pop"", ""indie pop"", ""indie"", ""indie rock"", ""psychedelic""]","[{""name"": ""End of Beginning"", ""album"": ""DECIDE"", ""duration_s"": 159, ""tags"": [""indie"", ""pop"", ""indie pop"", ""best of 2022"", ""melancholic""], ""wiki"": ""“End of Beginning” was first performed on April 28, 2022 in Alabama and would be later played on May 25, 2022 in Canada. The song landed as the sixth track on Djo’s second studio album “DECIDE“. <a href=\""http://www.last.fm/music/Djo/_/End+of+Beginning\"">Read more on Last.fm</a>.""}, {""name"": ""Chateau (Feel Alright)"", ""album"": ""Chateau (Feel Alright)"", ""duration_s"": 272, ""tags"": [""indie"", ""Olivia"", ""Olivia is awesome"", ""psychedelic"", ""Neo-Psychedelia""], ""wiki"": ""\""Chateau (Feel Alright)\"" is a song by American actor and musician Joe Keery under the moniker Djo, and appears on his debut album, Twenty Twenty. <a href=\""http://www.last.fm/music/Djo/_/Chateau+(Feel+Alright)\"">Read more on Last.fm</a>.""}, {""name"": ""Roddy"", ""album"": ""Twenty Twenty"", ""duration_s"": 252, ""tags"": [""psychedelic pop"", ""indie"", ""indie pop"", ""pop"", ""art rock""], ""wiki"": """"}, {""name"": ""Change"", ""album"": ""Change - Single"", ""duration_s"": 177, ""tags"": [], ""wiki"": ""“Change” is the follow up single to Djo’s late 2020 single “Keep Your Head Up” and was first announced on June 17, 2022 through social media post that informed fans on a phone number (928-8-DECIDE) to call. After calling the number a text message would be sent saying:\n\n\""YO IT’S DJO – TO HEAR THE FULL VERSION OF MY NEW SONG “CHANGE” WHEN IT DROPS, SIGN-UP HERE:\""\n\nOn June 21, 2022, Djo would make a post to his social media accounts officially announcing the song to be releasing the very next day on June 22 <a href=\""http://www.last.fm/music/Djo/_/Change\"">Read more on Last.fm</a>.""}, {""name"": ""Gloom"", ""album"": ""Gloom - Single"", ""duration_s"": 120, ""tags"": [], ""wiki"": ""“Gloom” is the second track off Djo’s second studio album “DECIDE” and is the follow up single to his previously released song “Change“.\n\nThe track was first performed on April 28, 2022 at Saturn Birmingham Alabama and would be later played on May 25, 2022 at The Glass House in California.\n\nOn July 22, 2022 Djo posted to his social media pages with phone number that would send fans a text to the songs pre-save link. <a href=\""http://www.last.fm/music/Djo/_/Gloom\"">Read more on Last.fm</a>.""}]","[""Wallows"", ""Peach Pit"", ""Dayglow"", ""HAIM"", ""Declan McKenna""]"
lewis capaldi,1418334,47422723,https://www.last.fm/music/Lewis+Capaldi,"Lewis Marc Capaldi (born 7 October 1996) is a Scottish singer-songwriter from Whitburn, a town in West Lothian.

He first rose to mainstream prominence on 8 November, 2018, with the release of his second EP Breach, including the massive hit single ""Someone You Loved"".

2019 saw ""Someone You Loved"" charting in over 29 counties and becoming a global hit.

On 17 May, 2019, Capaldi released his debut album titled Divinely Uninspired to a Hellish Extent <a href=""https://www.last.fm/music/Lewis+Capaldi"">Read more on Last.fm</a>","[""pop"", ""Scottish"", ""singer-songwriter"", ""pop rock"", ""alternative""]","[{""name"": ""Someone You Loved"", ""album"": ""Best of Electronic Music"", ""duration_s"": 182, ""tags"": [""2010s"", ""pop"", ""2019"", ""2018"", ""rnb""], ""wiki"": ""Lewis writes this song to a past partner whom he misses. He feels as though he gave the relationship everything and she left him anyway. Now, he just wants someone to love because he misses the way it felt with his ex. It was a number hit across Europe, hitting number one in The UK, Scotland and Ireland. <a href=\""http://www.last.fm/music/Lewis+Capaldi/_/Someone+You+Loved\"">Read more on Last.fm</a>.""}, {""name"": ""Before You Go"", ""album"": ""Massive Hits"", ""duration_s"": 215, ""tags"": [""indie pop"", ""alternative"", ""acoustic"", ""indie"", ""electropop""], ""wiki"": ""“Before You Go” is about the aftermath of someone close committing suicide, including feeling like you are responsible for their death. Throughout the track, Lewis repeatedly questions whether he could have done something to prevent it.\n\nLewis teased the track by posting a snippet on his social media accounts one day before its release. <a href=\""http://www.last.fm/music/Lewis+Capaldi/_/Before+You+Go\"">Read more on Last.fm</a>.""}, {""name"": ""Bruises"", ""album"": ""Bruises"", ""duration_s"": 220, ""tags"": [""2010s"", ""2016"", ""pop"", ""singer-songwriter"", ""Soundtrack""], ""wiki"": """"}, {""name"": ""Hold Me While You Wait"", ""album"": ""You Belong With Me"", ""duration_s"": 205, ""tags"": [], ""wiki"": """"}, {""name"": ""Forever"", ""album"": ""Sad Summer Nights"", ""duration_s"": 210, ""tags"": [], ""wiki"": """"}]","[""Dean Lewis"", ""James Arthur"", ""Calum Scott"", ""Dermot Kennedy"", ""Ed Sheeran""]"
katseye,1035563,51782286,https://www.last.fm/music/KATSEYE,"KATSEYE is a global girl group formed through the 2023 reality competition show The Debut: Dream Academy by HYBE Corporation and Geffen Records. The group is composed of 6 members: Sophia (Philippines), Lara (USA), Yoonchae (South Korea), Megan (USA), Daniela (USA) and Manon (Switzerland). They debuted on June 28, 2024 with the track ""Debut"" from their debut extended play SIS (Soft Is Strong). <a href=""https://www.last.fm/music/KATSEYE"">Read more on Last.fm</a>","[""pop"", ""k-pop"", ""hyperpop"", ""electropop"", ""rnb""]","[{""name"": ""Touch"", ""album"": """", ""duration_s"": 0, ""tags"": [""pop"", ""my top songs"", ""rnb"", ""girl group"", ""mainstream""], ""wiki"": ""“Touch“ is a song by girl group KATSEYE from their first extended play, SIS (Soft Is Strong). It was released on July 26, 2024, through Hybe UMG and Geffen Records as the second single from the EP. The song is a liquid drum and bass-infused dance-pop song with R&B undertones, about moving on from a lover. <a href=\""http://www.last.fm/music/KATSEYE/_/Touch\"">Read more on Last.fm</a>.""}, {""name"": ""Gnarly"", ""album"": ""Gnarly"", ""duration_s"": 137, ""tags"": [""hyperpop"", ""hybrid trap"", ""Deconstructed Club"", ""WSUM 91.7 FM Madison"", ""Pop Court with manda m""], ""wiki"": ""“Gnarly“ is a song by girl group KATSEYE. It was released on April 30, 2025, through HYBE UMG and Geffen Records, as the lead single for their EP, Beautiful Chaos. Described as a hyperpop song, “Gnarly“ was written by Alice Longyu Gao, Tim Randolph, Kyle Buckley, Jacob Kasher Hindlin and Madison Love, with production by Buckley, \""Hitman\"" Bang and Slow Rabbit.\n\nDespite initially receiving a polarizing response from fans, the song became a success, earning the group their first entries on the Billboard Hot 100 and the UK singles chart. <a href=\""http://www.last.fm/music/KATSEYE/_/Gnarly\"">Read more on Last.fm</a>.""}, {""name"": ""Gabriela"", ""album"": ""BEAUTIFUL CHAOS [Explicit]"", ""duration_s"": 197, ""tags"": [""soty"", ""latin"", ""latinas"", ""girlband"", ""bilingual""], ""wiki"": ""\""Gabriela\"" is a Latin-tinged R&B pop track layering a mid-tempo groove with acoustic guitar accents and a Spanish-language bridge performed by Daniela Avanzini. The song is about a woman who begs another not to steal her man away. It  serves as the second single from KATSEYE's EP, BEAUTIFUL CHAOS. It follows their hyperpop anthem \""Gnarly\"". \n\nOriginally, it was a demo meant for Rita Ora and Anitta. This collaboration happened in 2019 but was eventually canceled. <a href=\""http://www.last.fm/music/KATSEYE/_/Gabriela\"">Read more on Last.fm</a>.""}, {""name"": ""Debut"", ""album"": """", ""duration_s"": 0, ""tags"": [""Global Girl Group"", ""pop"", ""Dream Academy"", ""divas"", ""My most top songs station""], ""wiki"": ""\""Debut\"" is the inaugural single by KATSEYE, a global girl group formed through the 2023 reality show *Dream Academy*, a collaboration between HYBE Corporation and Geffen Records.  The track was released digitally on June 28, 2024, and serves as the lead single for their debut EP, *SIS (Soft Is Strong)*, which followed on August 16, 2024. \n\nThematically, \""Debut\"" centers on confidence and unity. Member Lara Raj explained that the song reflects the group's journey and the strong bond they've developed <a href=\""http://www.last.fm/music/KATSEYE/_/Debut\"">Read more on Last.fm</a>.""}, {""name"": ""Gameboy"", ""album"": ""BEAUTIFUL CHAOS [Explicit]"", ""duration_s"": 185, ""tags"": [""kiki owns this song"", ""pop"", ""latin pop"", ""rnb"", ""Kpop""], ""wiki"": ""“Gameboy” was officially released on June 27, 2025, following its registration through ASCAP on February 18, 2025.\n\nThe track was written by acclaimed songwriter Jacob Kasher, who had previously collaborated with major artists such as Selena Gomez, Britney Spears, Maroon 5, Tate McRae, and Lady Gaga, among others.\n\nMegan: “It’s a feel-good song and like an elevated ‘Touch.’“\n\nYoonchae: “I’m excited for ‘Game Boy’ because it’s <a href=\""http://www.last.fm/music/KATSEYE/_/Gameboy\"">Read more on Last.fm</a>.""}]","[""ALLDAY PROJECT"", ""Meovv"", ""i-dle"", ""Jennie"", ""ILLIT""]"
